Block,Hash,Date,Previous Hash,Signature,Coin,Difficulty,Daddy,Time
1,1,17-04-2023 17:42:21,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,31
1,1,17-04-2023 17:43:44,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,83
1,1,17-04-2023 17:46:06,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,142
1,1,17-04-2023 17:46:36,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,30
1,11,17-04-2023 17:46:41,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,5
1,0,17-04-2023 17:47:29,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,48
1,10,17-04-2023 17:47:41,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,12
1,0,17-04-2023 17:48:26,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,45
1,1,17-04-2023 17:49:01,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,35
1,0,17-04-2023 17:50:00,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,59
1,11,17-04-2023 17:50:02,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,2
1,1,17-04-2023 17:50:25,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,23
1,11,17-04-2023 17:51:21,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,56
